task_id,task_name,description_output,confidence
4,045e512c.json,"To make the output, you have to... 1st: make the pink and blue objects look exactly like the grey object with the original pink part on the bottom left of the object and the blue on the top.2nd.  repeat the pink object upwards diagonal of 3 squares (it will be cut off by the top just do what you can.3rd: repeat the blue object diagonal by one square (the 3rd will be cut off a bit)",
4,045e512c.json,"To make the output, you have to... replicate the reference shape, using the color of the other  blocks as a start point and then replicate that pattern to the edge of the grid, even if it needs a incomplete shape.",8.0
4,045e512c.json,"To make the output, you have to...replicate the central pattern for each surrounding incomplete pattern, using the color of the surrounding pattern, along the same direction of the surrounding pattern, and reproduce it as necessary until the end of the square",
4,045e512c.json,"To make the output, you have to...complete the same pattern in the differing color all the way to the edge of the grid along the same direction or line that it starts at.",3.0
4,045e512c.json,"To make the output, you have to...duplicate the larger shape using the color and location of each smaller shape.  Once you have done that, you will need to continue the shape pattern to the edges of the grid.  That is make more duplicates being spaced the same distance and direction until you hit the edge of the grid.",2.0
4,045e512c.json,"To make the output, you have to...complete the pattern for the other two colors which are blue and pink to be just like shape of gray and from there follow the same space and continue the draw to the end.",
5,0520fde7.json,"To make the output, you have to...imagine taking out the line grey blocks and sliding the left half over until it lines up with the right side. If two blue blocks are on top of each other the block becomes red, otherwise the block is black",2.0
5,0520fde7.json,"To make the output, you have to...place the right grid on top of the left grid. any square that is colored on both grid becomes red. Every other square, including those that are blue, becomes black.",8.0
5,0520fde7.json,"To make the output, you have to... look at both the left and right parts of the input grid. You will notice that the left and right parts are 3x3. For each square that is colored on both the left and right parts, color the output grid with red on the new 3x3.",9.0
5,0520fde7.json,"To make the output, you have to... look at both the left and right parts of the input grid. You will notice that the left and right parts are 3x3. For each square that is colored on both the left and right parts, color the output grid with red on the new 3x3.",9.0
5,0520fde7.json,"To make the output, you have to... look at both the left and right parts of the input grid. You will notice that the left and right parts are 3x3. For each square that is colored on both the left and right parts, color the output grid with red on the new 3x3.",9.0
5,0520fde7.json,"To make the output, you have to... look at both the left and right parts of the input grid. You will notice that the left and right parts are 3x3. For each square that is colored on both the left and right parts, color the output grid with red on the new 3x3.",9.0
6,05269061.json,"To make the output, you have to...fill the black grid with same pattern of row color, next row need to replace the same pattern of first row one column move shifted left",10.0
6,05269061.json,"To make the output, you have to...fill the black grid with same pattern of row color, next row need to replace the same pattern of first row one column move shifted left",10.0
6,05269061.json,"To make the output, you have to...make the boxes red, blue and green in a diagonal pattern",
6,05269061.json,"To make the output, you have to...by read instructions",
6,05269061.json,"To make the output, you have to...by read the instructions",8.0
7,05f2a901.json,"To make the output, you have to...keep the light blue cube in the same exact location. Then copy and move the other shape directly towards the blue cube, until it is touching it. At the end you'll have the light blue cube in the same exact spot as in the input grid and the the other shape will be the same but moved directly towards and touching the blue cube.",9.0
7,05f2a901.json,"To make the output, you have to...keep the light blue cube in the same exact location. Then copy and move the other shape directly towards the blue cube, until it is touching it. At the end you'll have the light blue cube in the same exact spot as in the input grid and the the other shape will be the same but moved directly towards and touching the blue cube.",9.0
7,05f2a901.json,"To make the output, you have to...keep the light blue cube in the same exact location. Then copy and move the other shape directly towards the blue cube, until it is touching it. At the end you'll have the light blue cube in the same exact spot as in the input grid and the the other shape will be the same but moved directly towards and touching the blue cube.",9.0
7,05f2a901.json,"To make the output, you have to...keep the light blue cube in the same exact location. Then copy and move the other shape directly towards the blue cube, until it is touching it. At the end you'll have the light blue cube in the same exact spot as in the input grid and the the other shape will be the same but moved directly towards and touching the blue cube.",9.0
7,05f2a901.json,"To make the output, you have to...keep the light blue cube in the same exact location. Then copy and move the other shape directly towards the blue cube, until it is touching it. At the end you'll have the light blue cube in the same exact spot as in the input grid and the the other shape will be the same but moved directly towards and touching the blue cube.",9.0
7,05f2a901.json,"To make the output, you have to... keep the blue cube in the same spot.  the red shape needs to move until it is touching the blue cube",10.0
7,05f2a901.json,"To make the output, you have to... keep the blue cube in the same spot.  the red shape needs to move until it is touching the blue cube",10.0
7,05f2a901.json,"To make the output, you have to... keep the blue cube in the same spot.  the red shape needs to move until it is touching the blue cube",10.0
8,06df4c85.json,"To make the output, you have to...alternate",10.0
8,06df4c85.json,"To make the output, you have to...alternate",10.0
8,06df4c85.json,"To make the output, you have to...fill the black 2x2 square grid with same color in between the two same color of 2x2 grid and connect",10.0
8,06df4c85.json,"To make the output, you have to...fill the black 2x2 square grid with same color in between the two same color of 2x2 grid and connect",10.0
9,08ed6ac7.json,"To make the output, you have to...change the color of the tallest to blue, then second talest to red,third tallest to green,then finally shortest to yellow for both pairs.",9.0
9,08ed6ac7.json,"To make the output, you have to...change the color of the tallest to blue, then second talest to red,third tallest to green,then finally shortest to yellow for both pairs.",9.0
9,08ed6ac7.json,"To make the output, you have to...change the color of the tallest to blue, then second talest to red,third tallest to green,then finally shortest to yellow for both pairs.",9.0
9,08ed6ac7.json,"To make the output, you have to... change the color of the tallest to blue, then second talest to red,third tallest to green,then finally shortest to yellow for both pairs.",8.0
10,09629e4f.json,"To make the output, you have to...find space in grid that only have 4 colored cubes. Copy this small grid, but on the big grid, fill the entire 9x9 block with the cube colors and make the other colored cubes black, except the gray.",7.0
10,09629e4f.json,"To make the output, you have to...find space in grid that only have 4 colored cubes. Copy this small grid, but on the big grid, fill the entire 9x9 block with the cube colors and make the other colored cubes black, except the gray.",7.0
10,09629e4f.json,"To make the output, you have to...find space in grid that only have 4 colored cubes. Copy this small grid, but on the big grid, fill the entire 9x9 block with the cube colors and make the other colored cubes black, except the gray.",7.0
10,09629e4f.json,"To make the output, you have to...find space in grid that only have 4 colored cubes.  Copy this small grid, but on the big grid, fill the entire 9x9 block with the cube colors and make the other colored cubes black, except the gray",
10,09629e4f.json,"To make the output, you have to...you have to pick different color with 3x3 grid such that cube colors",
10,09629e4f.json,"To make the output, you have to...find the square that has only four color blocks in the pattern. Use that design to fill the blocks in the output design. The gray areas stay the same.",8.0
10,09629e4f.json,"To make the output, you have to...find the square that has only four color blocks in the pattern. Use that design to fill the blocks in the output design. The gray areas stay the same.",8.0
10,09629e4f.json,"To make the output, you have to...find the square that has only four color blocks in the pattern. Use that design to fill the blocks in the output design. The gray areas stay the same.",8.0
11,0962bcdd.json,"To make the output, you have to... the blue color to set a grid of cross with space for pink at the center. At the edge of the blue colors set pink and black as support.",
11,0962bcdd.json,"To make the output, you have to...extend those 2 point into 2 star patterns.  They are on a 5x5 grid and represent of an X pattern that share the center color, there is  a   pattern share the outer color.",2.0
11,0962bcdd.json,"To make the output, you have to...output grid successfully",10.0
11,0962bcdd.json,"To make the output, you have to...output grid successfully",10.0
11,0962bcdd.json,"To make the output, you have to...except corresponding",8.0
11,0962bcdd.json,"To make the output, you have to...specified the input, you should see...input is color change and today in above.",
11,0962bcdd.json,"To make the output, you have to...continue the pattern out 2 squares",
11,0962bcdd.json,"To make the output, you have to...extend the plus sign one square in every direction and then make a 5x5 'X' of the center color through the center square. You should result in nine squares the color of the center and eight the color of the original plus sign.",8.0
12,0a938d79.json,"To make the output, you have to... create a pattern of short stripes alternating between the 2 colors. Start from the first colored pixel and create a line that goes to the opposite side using that color. Then go to the second colored pixel and do the same. Continue the pattern of stripes to the RIGHT for a long grid or go DOWN for a tall grid all the way to the end.",8.0
12,0a938d79.json,"To make the output, you have to... create a pattern of short stripes alternating between the 2 colors. Start from the first colored pixel and create a line that goes to the opposite side using that color. Then go to the second colored pixel and do the same. Continue the pattern of stripes to the RIGHT for a long grid or go DOWN for a tall grid all the way to the end.",8.0
12,0a938d79.json,"To make the output, you have to... create a pattern of short stripes alternating between the 2 colors. Start from the first colored pixel and create a line that goes to the opposite side using that color. Then go to the second colored pixel and do the same. Continue the pattern of stripes to the RIGHT for a long grid or go DOWN for a tall grid all the way to the end.",8.0
12,0a938d79.json,"To make the output, you have to...copy the input",6.0
13,0b148d64.json,"To make the output, you have to... find the one pattern that has different color and draw it on the black output.",
13,0b148d64.json,"To make the output, you have to...copy the pattern that is a different color",10.0
13,0b148d64.json,"To make the output, you have to...make the output grid match the space of the colored area that is the odd color from the rest.",9.0
13,0b148d64.json,"To make the output, you have to... make it the area that is a different color.",8.0
14,0ca9ddb6.json,"To make the output, you have to...copy image exactly.  Where there's a red square, put yellow squares at it's corners (4 total).  Where there's a dark blue square, put orange squares directly above and below it (4 total). Do nothing with light blue or magenta squares",9.0
14,0ca9ddb6.json,"To make the output, you have to...copy image exactly.  Where there's a red square, put yellow squares at it's corners (4 total).  Where there's a dark blue square, put orange squares directly above and below it (4 total). Do nothing with light blue or magenta squares",9.0
14,0ca9ddb6.json,"To make the output, you have to...copy image exactly.  Where there's a red square, put yellow squares at it's corners (4 total).  Where there's a dark blue square, put orange squares directly above and below it (4 total). Do nothing with light blue or magenta squares",9.0
14,0ca9ddb6.json,"To make the output, you have to...add one yellow square diagonally at each corner of the red square. Add one orange square to the top and bottom of the blue square, and one orange square to the left and right of the blue square. Leave the magenta and light blue squares as they are; do not add anything to them if they are present.",9.0
15,0d3d703e.json,"To make the output, you have to...change the column color to a specific other color. If the original color is dark red, change it to pink. If it is green, change it to yellow. If dark blue, change to grey. If light blue, change to dark red. The opposite is also true (for example if it is light blue, change to dark red).",8.0
15,0d3d703e.json,"To make the output, you have to...change the column color to a specific other color. If the original color is dark red, change it to pink. If it is green, change it to yellow. If dark blue, change to grey. If light blue, change to dark red. The opposite is also true (for example if it is light blue, change to dark red).",8.0
15,0d3d703e.json,"To make the output, you have to...replace the vertical column colors with different colors",
15,0d3d703e.json,"To make the output, you have to...change the color of the grid column into specific color.  grey to dark blue, light blue to dark red, magenta to light red, green to yellow and vice versa",10.0
16,0dfd9992.json,"To make the output, you have to...copy input grid exactly.  Fill in all black boxes to draw establish pattern",8.0
16,0dfd9992.json,"To make the output, you have to...start by copying the input grid exactly. Fill in all of the black boxes to complete the pattern until there are no more black boxes. To do this notice the pattern of the colored boxes. For example the top row might repeat every 4th row (or 5 rows or whatever the number of rows is before it repeats).  Once you've figured out the pattern just fill in the black boxes with the correct colored boxes. In the end you should see repeating patterns of colored boxes and there should be no black boxes in the grid.",8.0
16,0dfd9992.json,"To make the output, you have to...start by copying the input grid exactly. Fill in all of the black boxes to complete the pattern until there are no more black boxes. To do this notice the pattern of the colored boxes. For example the top row might repeat every 4th row (or 5 rows or whatever the number of rows is before it repeats).  Once you've figured out the pattern just fill in the black boxes with the correct colored boxes. In the end you should see repeating patterns of colored boxes and there should be no black boxes in the grid.",8.0
16,0dfd9992.json,"To make the output, you have to...start by copying the input grid exactly. Fill in all of the black boxes to complete the pattern until there are no more black boxes. To do this notice the pattern of the colored boxes. For example the top row might repeat every 4th row (or 5 rows or whatever the number of rows is before it repeats).  Once you've figured out the pattern just fill in the black boxes with the correct colored boxes. In the end you should see repeating patterns of colored boxes and there should be no black boxes in the grid.",8.0
17,0e206a2e.json,"To make the output, you have to...After finishing the work done check the output was clear or not with submit option.",
17,0e206a2e.json,"To make the output, you have to...try to fill up the empty space between the three color boxes as the original object given.",10.0
17,0e206a2e.json,"To make the output, you have to...try to fill up the empty space between the three color boxes as the original object given.",10.0
17,0e206a2e.json,"To make the output, you have to...try to fill up the empty space between the three color boxes as the original object given.",10.0
17,0e206a2e.json,"To make the output, you have to...try to fill up the empty space between the three color boxes as the original object given.",5.0
17,0e206a2e.json,"To make the output, you have to... Try to recreate the pattern using red yellow and blue squares.",5.0
18,10fcaaa3.json,"To make the output, you have to... copy the input grid 4 times so you have the original grid in the upper left, then again next to it, below it and again in the bottom right corner.The output grid should be 4 of the input grid.When that is done, go to every single shape and add a light blue square at each corner. This should happen for every colored square. The only time you do not put a blue square at the corner of a colored square is if there is already another colored square in that space.",6.0
18,10fcaaa3.json,"To make the output, you have to... copy the input grid 4 times so you have the original grid in the upper left, then again next to it, below it and again in the bottom right corner.The output grid should be 4 of the input grid.When that is done, go to every single shape and add a light blue square at each corner. This should happen for every colored square. The only time you do not put a blue square at the corner of a colored square is if there is already another colored square in that space.",6.0
18,10fcaaa3.json,"To make the output, you have to... resize the output grid to be double the width and height of the input grid. Then, copy and paste each colored square in the input grid 4 times -- once in each ""quadrant"" (if, in the input, the square is in the uppermost and leftmost corner, then it should be in the uppermost and leftmost corner in the output, as well as in the uppermost and leftmost corner of each ""quadrant""). Then, for every single colored square, do the following: put a light blue square on each adjacent corner, forming a cross with 4 light-blue squares and the colored square in the middle.",4.0
18,10fcaaa3.json,"To make the output, you have to... resize the output grid to be double the width and height of the input grid. Then, copy and paste each colored square in the input grid 4 times -- once in each ""quadrant"" (if, in the input, the square is in the uppermost and leftmost corner, then it should be in the uppermost and leftmost corner in the output, as well as in the uppermost and leftmost corner of each ""quadrant""). Then, for every single colored square, do the following: put a light blue square on each adjacent corner, forming a cross with 4 light-blue squares and the colored square in the middle.",4.0
18,10fcaaa3.json,"To make the output, you have to... resize the output grid to be double the width and height of the input grid. Then, copy and paste each colored square in the input grid 4 times -- once in each ""quadrant"" (if, in the input, the square is in the uppermost and leftmost corner, then it should be in the uppermost and leftmost corner in the output, as well as in the uppermost and leftmost corner of each ""quadrant""). Then, for every single colored square, do the following: put a light blue square on each adjacent corner, forming a cross with 4 light-blue squares and the colored square in the middle.",4.0
18,10fcaaa3.json,"To make the output, you have to... copy the input. Then, resize the output grid to be double the width and height. Then, copy the upper-left quadrant of your output grid (which is the same as the input grid) and paste it once in each quadrant of the output grid. You should have 4x as many colored squares in the output as in the input. Then, for each colored square in the output, do the following: add a light blue square 1 above and to the left, 1 above and to the right, 1 below and to the left, 1 below and to the right. Each light blue square should be diagonally touching the colored square, forming an X with the colored square in the center. Some of the X's might overlap or go off the screen. That is okay.",8.0
18,10fcaaa3.json,"To make the output, you have to...copy and paste the original input into each quadrant of the output (top left, top right, bottom left, bottom right). Then, on the second row down from the top, make it a horizontal light blue line that goes across the entire width, it should be 8 wide by 1 long.From the top right corner, go to the third down and color that square light blue. From the top left corner, go to the fourth square down and color that square light blue.Then do another 8x1 horizontal light blue line below the last square you colored.",
19,11852cab.json,"To make the output, you have to...complete the pattern that is not there by color each side with the color that is not there to complete the pattern",7.0
19,11852cab.json,"To make the output, you have to...complete the pattern that is not there by color each side with the color that is not there to complete the pattern",7.0
19,11852cab.json,"To make the output, you have to...complete the pattern that is not there by color each side with the color that is not there to complete the pattern",7.0
19,11852cab.json,"To make the output, you have to...complete the pattern that is not there by color each side with the color that is not there to complete the pattern",7.0
19,11852cab.json,"To make the output, you have to...complete the pattern that is not there by color each side with the color that is not there to complete the pattern",7.0
20,1190e5a7.json,"To make the output, you have to...successfully",10.0
20,1190e5a7.json,"To make the output, you have to...only use the color inside the lines, one color the whole output grid",
20,1190e5a7.json,"To make the output, you have to...You change the grid to all green or all green.",
20,1190e5a7.json,"To make the output, you have to...take the main color and fill all squares",
20,1190e5a7.json,"To make the output, you have to...once you have your grid size change the color of the grid to the color of the input grid not the lines",9.0
20,1190e5a7.json,"To make the output, you have to...remove blue horizontal and vertical lines",
20,1190e5a7.json,"To make the output, you have to...3x2 and make them blue",
21,137eaa0f.json,"To make the output, you have to...In the input, you should see...single object fill grid",10.0
21,137eaa0f.json,"To make the output, you have to...In the input, you should see...single object fill grid",10.0
21,137eaa0f.json,"To make the output, you have to...In the input, you should see...single object fill grid",10.0
21,137eaa0f.json,"To make the output, you have to...move each pattern so that the gray square in each pattern occupies the center square of the output 3x3 grid.",10.0
21,137eaa0f.json,"To make the output, you have to...move each pattern so that the gray square in each pattern occupies the center square of the output 3x3 grid.",10.0
22,150deff5.json,"To make the output, you have to... copy pattern and change 2x2 areas to light blue and 1x3 to red.",8.0
22,150deff5.json,"To make the output, you have to...In the input, you should see...the output grid size does not change",
22,150deff5.json,"To make the output, you have to... copy the input grid. Find any blocks of four squares which make a 2x2 square and change them to LIGHT blue. Change the other grey squares to red. In the end, the shapes should be made only out of 2x2 light blue sections and 1x3 red sections.",5.0
22,150deff5.json,"To make the output, you have to...fill in pattern completely  with blue and red, to form 2x2 blue pattern and 1x3 red patterns.",9.0
23,178fcbfb.json,"To make the output, you have to...draw a vertical red line through any red squares.  Then draw lines, left to right, for the green and blue squares.  Go over any red squares from before.",10.0
23,178fcbfb.json,"To make the output, you have to...draw a vertical red line through any red squares.  Then draw lines, left to right, for the green and blue squares.  Go over any red squares from before.",10.0
23,178fcbfb.json,"To make the output, you have to...extend the green and blue squares into horizontal lines that go all the way to the edges of the grid. The red square extend as a vertical line that is behind the green and blue squares so the place where the lines cross over each other, the blue or green square should show.",6.0
23,178fcbfb.json,"To make the output, you have to...whole dot and quad",
23,178fcbfb.json,"To make the output, you have to...draw a vertical red line of squares through any red squares, then make left to right green lines through green squares and left to right blue lines through blue squares. Go over any red squares from before.",9.0
23,178fcbfb.json,"To make the output, you have to... the input, you should see...green color row bag in the box  ..",8.0
24,1a07d186.json,"To make the output, you have to...share",10.0
24,1a07d186.json,"To make the output, you have to...share",10.0
24,1a07d186.json,"To make the output, you have to...move the single squares horizontal or vertical to touch the line of the same color to their color, while removing of the other colored squares by turn them to the black base color of the grid.",9.0
24,1a07d186.json,"To make the output, you have to...remove the different color that does not match the rest. move the single squares so they are in the same horizontal or vertical place depending if it is a vertical or horizontal line and have them touch the same side the single squares were on.",5.0
24,1a07d186.json,"To make the output, you have to...remove the different color that does not match the rest. move the single squares so they are in the same horizontal or vertical place depending if it is a vertical or horizontal line and have them touch the same side the single squares were on.",5.0
24,1a07d186.json,"To make the output, you have to...remove the different color that does not match the rest. move the single squares so they are in the same horizontal or vertical place depending if it is a vertical or horizontal line and have them touch the same side the single squares were on.",5.0
24,1a07d186.json,"To make the output, you have to...remove the different color that does not match the rest. move the single squares so they are in the same horizontal or vertical place depending if it is a vertical or horizontal line and have them touch the same side the single squares were on.",5.0
24,1a07d186.json,"To make the output, you have to...remove the different color that does not match the rest. move the single squares so they are in the same horizontal or vertical place depending if it is a vertical or horizontal line and have them touch the same side the single squares were on.",5.0
25,1b2d62fb.json,"To make the output, you have to... put both pattern together, if it is red in either pattern make it red in the output. Then turn the black light blue and the red black.",8.0
25,1b2d62fb.json,"To make the output, you have to... put both pattern together, if it is red in either pattern make it red in the output. Then turn the black light blue and the red black.",8.0
25,1b2d62fb.json,"To make the output, you have to... put both pattern together, if it is red in either pattern make it red in the output. Then turn the black light blue and the red black.",8.0
25,1b2d62fb.json,"To make the output, you have to... put both pattern together, if it is red in either pattern make it red in the output. Then turn the black light blue and the red black.",8.0
25,1b2d62fb.json,"To make the output, you have to...change the entire background in black and you have to watch the black space in both input pattern compare them now color the similar black space with light blue color.",9.0
25,1b2d62fb.json,"To make the output, you have to...change the entire background in black and you have to watch the black space in both input pattern compare them now color the similar black space with light blue color.",9.0
26,1b60fb0c.json,"To make the output, you have to... recreate the blue pattern then add another part on the left, in red.",5.0
26,1b60fb0c.json,"To make the output, you have to... recreate the blue pattern then add another part on the left, in red.",5.0
26,1b60fb0c.json,"To make the output, you have to... recreate the blue pattern then add another part on the left, in red.",5.0
26,1b60fb0c.json,"To make the output, you have to...recreate one of the sections of the 3-part blue pattern in order to turn it into a 4-part pattern. However the newly created section should be in red and should be placed into the empty section of the grid in a logical orientation in order to create a consistent 4-part pattern",6.0
26,1b60fb0c.json,"To make the output, you have to...draw with red color to follow the pattern of the blue section and make one figure with 4 sections that look the same",
26,1b60fb0c.json,"To make the output, you have to...mirror right side to left",10.0
26,1b60fb0c.json,"To make the output, you have to...copy the left arm side of the blue pattern and mirror image it to the other side of the pattern",
26,1b60fb0c.json,"To make the output, you have to...copy the part sticking out on the right to the left side, but make it red, not blue.",
27,1bfc4729.json,"To make the output, you have to... first fill the single row with the color of each of the colored grid that's on it. Then color the top half edge border with the color of that top grid. Then color the bottom half edge border with the color of that bottom grid.",8.0
27,1bfc4729.json,"To make the output, you have to...use same color as input. 2 patterns, top and bottom; pattern like a long A stretch horizontally top then upside down on bottom of grid. To made the A and upside down A all side of grid are colored same color as the near color tile from input. Finally, add a 2 horizontal lines; 1 near top, 1 near bottom.",5.0
27,1bfc4729.json,"To make the output, you have to...fill half the grid with one color and half the other with the other color",10.0
27,1bfc4729.json,"To make the output, you have to...output grid is fully colored with half side pink and other side orange",5.0
27,1bfc4729.json,"To make the output, you have to...use the top color to fill in the entire first row, the first and last blocks of the second row, the entire third row, and the first and last blocks of the 4th and 5th rows. Then use the bottom color to fill in the first and last blocks of the 6th and 7th rows, fill in the entire 8th row, the first and last blocks of the 9th row, and the entire bottom (10th) row",9.0
28,1c786137.json,"To make the output, you have to...copy the squares inside of the same colored squares",10.0
28,1c786137.json,"To make the output, you have to...copy the squares inside of the same colored squares",10.0
28,1c786137.json,"To make the output, you have to...copy the grid inside the rectangle",8.0
28,1c786137.json,"To make the output, you have to...copy the grid inside the rectangle",8.0
28,1c786137.json,"To make the output, you have to...copy the grid inside the rectangle",8.0
28,1c786137.json,"To make the output, you have to...copy the grid inside the rectangle",9.0
29,1caeab9d.json,"To make the output, you have to...make it so that all the patterns are level with each other",
29,1caeab9d.json,"To make the output, you have to...change size",
29,1caeab9d.json,"To make the output, you have to...keep the blue shape where it is, and move the red and yellow shapes up or down so that they are at the same level as the blue-colored shape.",10.0
29,1caeab9d.json,"To make the output, you have to...move red and yellow  shapes up or down to the same vertical position as the blue grid position",3.0
29,1caeab9d.json,"To make the output, you have to...keep the blue pattern where it is and bring the yellow and red patterns up or down onto the same level as the blue one.",9.0
30,1cf80156.json,"To make the output, you have to...you just need to make sure the colored image is exactly (top, bottom, left, right) in the new grid. No color change.",5.0
30,1cf80156.json,"To make the output, you have to...you just need to make sure the colored image is exactly (top, bottom, left, right) in the new grid. No color change.",5.0
